Función objetivo: 8388965.209999999
Y_ikft[Antofagasta, R1, AT1, 1] = 0.0
Y_ikft[Antofagasta, R1, AT1, 2] = 0.0
Y_ikft[Antofagasta, R1, AT1, 3] = 0.0
Y_ikft[Antofagasta, R1, AT2, 1] = 0.0
Y_ikft[Antofagasta, R1, AT2, 2] = 0.0
Y_ikft[Antofagasta, R1, AT2, 3] = 0.0
Y_ikft[Antofagasta, R1, AT3, 1] = 0.0
Y_ikft[Antofagasta, R1, AT3, 2] = 0.0
Y_ikft[Antofagasta, R1, AT3, 3] = 0.0
Y_ikft[Antofagasta, R2, AT1, 1] = 0.0
Y_ikft[Antofagasta, R2, AT1, 2] = 0.0
Y_ikft[Antofagasta, R2, AT1, 3] = 0.0
Y_ikft[Antofagasta, R2, AT2, 1] = 0.0
Y_ikft[Antofagasta, R2, AT2, 2] = 0.0
Y_ikft[Antofagasta, R2, AT2, 3] = 0.0
Y_ikft[Antofagasta, R2, AT3, 1] = 0.0
Y_ikft[Antofagasta, R2, AT3, 2] = 0.0
Y_ikft[Antofagasta, R2, AT3, 3] = 0.0
Y_ikft[Antofagasta, R3, AT1, 1] = 0.0
Y_ikft[Antofagasta, R3, AT1, 2] = 0.0
Y_ikft[Antofagasta, R3, AT1, 3] = 0.0
Y_ikft[Antofagasta, R3, AT2, 1] = 0.0
Y_ikft[Antofagasta, R3, AT2, 2] = 0.0
Y_ikft[Antofagasta, R3, AT2, 3] = 0.0
Y_ikft[Antofagasta, R3, AT3, 1] = 0.0
Y_ikft[Antofagasta, R3, AT3, 2] = 0.0
Y_ikft[Antofagasta, R3, AT3, 3] = 0.0
Y_ikft[Antofagasta, R4, AT1, 1] = 0.0
Y_ikft[Antofagasta, R4, AT1, 2] = 0.0
Y_ikft[Antofagasta, R4, AT1, 3] = 0.0
Y_ikft[Antofagasta, R4, AT2, 1] = 0.0
Y_ikft[Antofagasta, R4, AT2, 2] = 0.0
Y_ikft[Antofagasta, R4, AT2, 3] = 0.0
Y_ikft[Antofagasta, R4, AT3, 1] = 0.0
Y_ikft[Antofagasta, R4, AT3, 2] = 0.0
Y_ikft[Antofagasta, R4, AT3, 3] = 0.0
Y_ikft[Antofagasta, R5, AT1, 1] = 0.0
Y_ikft[Antofagasta, R5, AT1, 2] = 0.0
Y_ikft[Antofagasta, R5, AT1, 3] = 0.0
Y_ikft[Antofagasta, R5, AT2, 1] = 0.0
Y_ikft[Antofagasta, R5, AT2, 2] = 0.0
Y_ikft[Antofagasta, R5, AT2, 3] = 0.0
Y_ikft[Antofagasta, R5, AT3, 1] = 0.0
Y_ikft[Antofagasta, R5, AT3, 2] = 0.0
Y_ikft[Antofagasta, R5, AT3, 3] = 0.0
Y_ikft[Antofagasta, R6, AT1, 1] = 0.0
Y_ikft[Antofagasta, R6, AT1, 2] = 0.0
Y_ikft[Antofagasta, R6, AT1, 3] = 0.0
Y_ikft[Antofagasta, R6, AT2, 1] = 0.0
Y_ikft[Antofagasta, R6, AT2, 2] = 0.0
Y_ikft[Antofagasta, R6, AT2, 3] = 0.0
Y_ikft[Antofagasta, R6, AT3, 1] = 0.0
Y_ikft[Antofagasta, R6, AT3, 2] = 0.0
Y_ikft[Antofagasta, R6, AT3, 3] = 0.0
Y_ikft[Valparaíso, R1, AT1, 1] = 0.0
Y_ikft[Valparaíso, R1, AT1, 2] = 0.0
Y_ikft[Valparaíso, R1, AT1, 3] = 0.0
Y_ikft[Valparaíso, R1, AT2, 1] = 0.0
Y_ikft[Valparaíso, R1, AT2, 2] = 0.0
Y_ikft[Valparaíso, R1, AT2, 3] = 0.0
Y_ikft[Valparaíso, R1, AT3, 1] = 0.0
Y_ikft[Valparaíso, R1, AT3, 2] = 0.0
Y_ikft[Valparaíso, R1, AT3, 3] = 0.0
Y_ikft[Valparaíso, R2, AT1, 1] = 0.0
Y_ikft[Valparaíso, R2, AT1, 2] = 0.0
Y_ikft[Valparaíso, R2, AT1, 3] = 0.0
Y_ikft[Valparaíso, R2, AT2, 1] = 0.0
Y_ikft[Valparaíso, R2, AT2, 2] = 0.0
Y_ikft[Valparaíso, R2, AT2, 3] = 0.0
Y_ikft[Valparaíso, R2, AT3, 1] = 0.0
Y_ikft[Valparaíso, R2, AT3, 2] = 0.0
Y_ikft[Valparaíso, R2, AT3, 3] = 0.0
Y_ikft[Valparaíso, R3, AT1, 1] = 0.0
Y_ikft[Valparaíso, R3, AT1, 2] = 0.0
Y_ikft[Valparaíso, R3, AT1, 3] = 0.0
Y_ikft[Valparaíso, R3, AT2, 1] = 0.0
Y_ikft[Valparaíso, R3, AT2, 2] = 0.0
Y_ikft[Valparaíso, R3, AT2, 3] = 0.0
Y_ikft[Valparaíso, R3, AT3, 1] = 0.0
Y_ikft[Valparaíso, R3, AT3, 2] = 0.0
Y_ikft[Valparaíso, R3, AT3, 3] = 0.0
Y_ikft[Valparaíso, R4, AT1, 1] = 0.0
Y_ikft[Valparaíso, R4, AT1, 2] = 0.0
Y_ikft[Valparaíso, R4, AT1, 3] = 0.0
Y_ikft[Valparaíso, R4, AT2, 1] = 0.0
Y_ikft[Valparaíso, R4, AT2, 2] = 0.0
Y_ikft[Valparaíso, R4, AT2, 3] = 0.0
Y_ikft[Valparaíso, R4, AT3, 1] = 0.0
Y_ikft[Valparaíso, R4, AT3, 2] = 0.0
Y_ikft[Valparaíso, R4, AT3, 3] = 0.0
Y_ikft[Valparaíso, R5, AT1, 1] = 0.0
Y_ikft[Valparaíso, R5, AT1, 2] = 0.0
Y_ikft[Valparaíso, R5, AT1, 3] = 0.0
Y_ikft[Valparaíso, R5, AT2, 1] = 0.0
Y_ikft[Valparaíso, R5, AT2, 2] = 0.0
Y_ikft[Valparaíso, R5, AT2, 3] = 0.0
Y_ikft[Valparaíso, R5, AT3, 1] = 0.0
Y_ikft[Valparaíso, R5, AT3, 2] = 0.0
Y_ikft[Valparaíso, R5, AT3, 3] = 0.0
Y_ikft[Valparaíso, R6, AT1, 1] = 0.0
Y_ikft[Valparaíso, R6, AT1, 2] = 0.0
Y_ikft[Valparaíso, R6, AT1, 3] = 0.0
Y_ikft[Valparaíso, R6, AT2, 1] = 0.0
Y_ikft[Valparaíso, R6, AT2, 2] = 0.0
Y_ikft[Valparaíso, R6, AT2, 3] = 0.0
Y_ikft[Valparaíso, R6, AT3, 1] = 0.0
Y_ikft[Valparaíso, R6, AT3, 2] = 0.0
Y_ikft[Valparaíso, R6, AT3, 3] = 0.0
Y_ikft[Santiago, R1, AT1, 1] = 0.0
Y_ikft[Santiago, R1, AT1, 2] = 0.0
Y_ikft[Santiago, R1, AT1, 3] = 0.0
Y_ikft[Santiago, R1, AT2, 1] = 0.0
Y_ikft[Santiago, R1, AT2, 2] = 0.0
Y_ikft[Santiago, R1, AT2, 3] = 0.0
Y_ikft[Santiago, R1, AT3, 1] = 0.0
Y_ikft[Santiago, R1, AT3, 2] = 0.0
Y_ikft[Santiago, R1, AT3, 3] = 0.0
Y_ikft[Santiago, R2, AT1, 1] = 0.0
Y_ikft[Santiago, R2, AT1, 2] = 0.0
Y_ikft[Santiago, R2, AT1, 3] = 0.0
Y_ikft[Santiago, R2, AT2, 1] = 0.0
Y_ikft[Santiago, R2, AT2, 2] = 0.0
Y_ikft[Santiago, R2, AT2, 3] = 0.0
Y_ikft[Santiago, R2, AT3, 1] = 0.0
Y_ikft[Santiago, R2, AT3, 2] = 0.0
Y_ikft[Santiago, R2, AT3, 3] = 0.0
Y_ikft[Santiago, R3, AT1, 1] = 0.0
Y_ikft[Santiago, R3, AT1, 2] = 0.0
Y_ikft[Santiago, R3, AT1, 3] = 0.0
Y_ikft[Santiago, R3, AT2, 1] = 0.0
Y_ikft[Santiago, R3, AT2, 2] = 0.0
Y_ikft[Santiago, R3, AT2, 3] = 0.0
Y_ikft[Santiago, R3, AT3, 1] = 0.0
Y_ikft[Santiago, R3, AT3, 2] = 0.0
Y_ikft[Santiago, R3, AT3, 3] = 0.0
Y_ikft[Santiago, R4, AT1, 1] = 0.0
Y_ikft[Santiago, R4, AT1, 2] = 0.0
